['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_8_seed4_best.controller', '0', '20', [-0.0440433, 0.996992, 0.815074],16]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_8_seed4_best.controller', '0', '20', [-0.0443039, 0.99695, 0.815478],32]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_8_seed4_best.controller', '0', '20', [-0.04365, 0.997046, 0.814658],64]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_16_seed4_best.controller', '0', '20', [0.174136, 0.835063, 0.631504],1]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_16_seed4_best.controller', '0', '20', [0.173852, 0.834584, 0.631234],2]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_16_seed4_best.controller', '0', '20', [0.173343, 0.833217, 0.630844],4]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_16_seed4_best.controller', '0', '20', [0.173257, 0.832683, 0.630968],8]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_16_seed4_best.controller', '0', '20', [0.172583, 0.831785, 0.630313],16]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_16_seed4_best.controller', '0', '20', [0.173933, 0.834728, 0.631113],32]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_16_seed4_best.controller', '0', '20', [0.17153, 0.829674, 0.629369],64]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_32_seed4_best.controller', '0', '20', [0.117486, 0.956975, 0.940068],1]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_32_seed4_best.controller', '0', '20', [0.117322, 0.95636, 0.93988],2]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_32_seed4_best.controller', '0', '20', [0.117105, 0.955678, 0.939862],4]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_32_seed4_best.controller', '0', '20', [0.116777, 0.955479, 0.940275],8]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_32_seed4_best.controller', '0', '20', [0.117233, 0.955084, 0.939749],16]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_32_seed4_best.controller', '0', '20', [0.117411, 0.956481, 0.939985],32]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_32_seed4_best.controller', '0', '20', [0.117709, 0.953907, 0.939506],64]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_64_seed4_best.controller', '0', '20', [0.077739, 0.990836, 0.857637],1]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_64_seed4_best.controller', '0', '20', [0.078402, 0.990854, 0.857587],2]
