['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_8_seed2_best.controller', '7', '20', [0.0689467, 0.986676, 0.959282]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_8_seed2_best.controller', '8', '20', [0.0677367, 0.989526, 0.953335]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_8_seed2_best.controller', '9', '20', [0.0677164, 0.988061, 0.957095]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_8_seed2_best.controller', '10', '20', [0.0668914, 0.989702, 0.9522]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_8_seed2_best.controller', '11', '20', [0.0650279, 0.991705, 0.942392]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_8_seed2_best.controller', '12', '20', [0.0661647, 0.987712, 0.95143]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_9_seed2_best.controller', '1', '20', [0.205319, 0.590927, 0.0662393]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_9_seed2_best.controller', '2', '20', [0.205319, 0.590927, 0.0662393]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_9_seed2_best.controller', '3', '20', [0.194395, 0.588421, 0.0324882]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_9_seed2_best.controller', '4', '20', [0.199664, 0.58853, 0.0654998]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_9_seed2_best.controller', '5', '20', [0.200348, 0.588876, 0.121815]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_9_seed2_best.controller', '6', '20', [0.204633, 0.590617, 0.0684244]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_9_seed2_best.controller', '7', '20', [0.153752, 0.568259, 0.449617]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_9_seed2_best.controller', '8', '20', [0.086616, 0.524618, 0.408371]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_9_seed2_best.controller', '9', '20', [0.178869, 0.57826, 0.279856]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_9_seed2_best.controller', '10', '20', [0.198025, 0.586905, 0.143525]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_9_seed2_best.controller', '11', '20', [0.205314, 0.590927, 0.0662254]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_9_seed2_best.controller', '12', '20', [0.196105, 0.586478, 0.226925]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_10_seed2_best.controller', '1', '20', [0.262024, 0.666535, 0.980868]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_10_seed2_best.controller', '2', '20', [0.262024, 0.666535, 0.980868]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_10_seed2_best.controller', '3', '20', [0.267789, 0.667442, 0.975884]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_10_seed2_best.controller', '4', '20', [0.264574, 0.666251, 0.980566]]
